"""sitename"""	"""siteengname"""	SO2 Average 	Maximum	X	Y	Xtwd	Ytwd	Months 
??	Xizhi	1.45	8.2	121.64081	25.06624	314649.5064	2773267.652	2
??	Wanli	1.7	7.7	121.689881	25.179667	319536.0581	2785856.183	2
??	Xindian	1.75	5.6	121.537778	24.977222	304293.8287	2763362.251	2
??	Tucheng	2.19	6.2	121.451861	24.982528	295617.6015	2763918.33	2
??	Banqiao	1.67	6.7	121.458667	25.012972	296293.3026	2767292.737	2
??	Xinzhuang	1.32	5.7	121.4325	25.037972	293643.389	2770053.158	2
??	Cailiao	1.77	7.8	121.481028	25.06895	298528.2	2773500.962	2
??	Linkou	2.34	16.7	121.3654898	25.07798949	286869.3782	2774465.731	2
??	Tamsui	1.59	6.4	121.449239	25.1645	295285.9191	2784073.597	2
??	Shilin	2	12.2	121.5166636	25.10334003	302108.7712	2777323.471	2
??	Zhongshan	1.58	8.1	121.526528	25.062361	303121.3595	2772788.228	2
??	Wanhua	2.47	5.89	121.507972	25.046503	301255.8092	2771024.55	2
??	Guting	1.74	6.3	121.529556	25.020608	303444.953	2768164.63	2
??	Songshan	1.5	5.3	121.578611	25.05	308381.9745	2771440.514	2
??	Datong	2.06	6.9	121.5134207	25.06331455	301798.5412	2772888.765	2
??	Taoyuan	1.71	6.6	121.3050053	24.9947107	280788.6456	2765226.36	2
??	Dayuan	1.82	13.3	121.2025147	25.06100357	270431.7556	2772549.774	2
??	Guanyin	1.59	6.1	121.0828309	25.03556747	258358.544	2769719.669	2
??	Pingzhen	0.44	3.6	121.203986	24.952786	270598.2355	2760563.563	2
??	Longtan	3.43	18.6	121.2164577	24.86400048	271873.2622	2750731.543	2
??	Hukou	3.34	17.9	121.0388689	24.90009696	253926.5933	2754712.78	2
??	Zhudong	2.16	6.2	121.0889549	24.74091408	258997.847	2737084.183	2
??	Hsinchu	3.87	14.7	120.9723675	24.8056356	247206.4037	2744249.997	2
??	Toufen	2.31	6.6	120.8986929	24.69690679	239749.1152	2732210.903	2
??	Miaoli	2.16	11.1	120.8201147	24.56499183	231778.9513	2717608.589	2
??	Sanyi	1.69	7.5	120.7595675	24.38248443	225610.8072	2697404.393	2
??	Fengyuan	1.85	7	120.7425241	24.25699731	223856.2162	2683509.479	2
??	Shalu	1.5	6.3	120.568794	24.225628	206204.9642	2680078.798	2
??	Dali	1.83	5.1	120.6784444	24.09961111	217309.5348	2666092.325	2
??	Zhongming	2.08	9.2	120.641092	24.151958	213526.9718	2671898.973	2
??	Xitun	0.82	6.2	120.616917	24.162197	211073.3337	2673039.462	2
??	Changhua	1.49	5.2	120.541519	24.066	203376.8957	2662408.563	2
??	Xianxi	2.56	8.3	120.469061	24.131672	196036.0031	2669707.797	2
??	Erlin	2.76	9.3	120.409653	23.925175	189901.7565	2646862.1	2
??	Nantou	1.99	10.5	120.685306	23.913	217960.9325	2645423.87	2
??	Douliu	1.99	11.2	120.544994	23.711853	203604.1387	2623186.376	2
??	Lunbei	1.61	5.8	120.348742	23.757547	183615.4515	2628324.597	2
??	Xingang	1.91	7.7	120.345531	23.554839	183185.239	2605876.77	2
??	Puzi	2	5.1	120.2478	23.46538	173155.6228	2596018.432	2
??	Taixi	3.23	14.1	120.1993333	23.702175	168350.7048	2622269.861	2
??	Chiayi	2.48	16.1	120.4412515	23.46477865	192918.7784	2595861.802	2
??	Xinying	3.22	10.4	120.31725	23.305633	180167.1651	2578292.065	2
??	Shanhua			120.2974053	23.11337642	178034.4504	2557010.964	2
??	Annan	1.82	6.2	120.2175	23.048197	169810.9055	2549834.555	2
??	Tainan	2.3	9.1	120.22085	22.99123	170120.6725	2543524.177	2
??	Meinong	2.25	7.9	120.530542	22.883583	201833.2379	2531468.788	2
??	Qiaotou	2.33	30.5	120.305689	22.757506	178696.8572	2517598.62	2
??	Renwu	2.46	13.1	120.332631	22.689056	181429.6846	2510006.131	2
??	Fengshan	2.11	16.8	120.357422	22.628126	183947.8166	2503247.93	2
??	Daliao	2.37	6	120.425311	22.56413611	190899.162	2496133.724	2
??	Linyuan	2.35	6.1	120.41175	22.4795	189467.6618	2486767.36	2
